               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11622,            0.017107,            0.042131,           0.0021823,             0.45068,            0.016634,           0.0031307,             0.11711,            0.012543,             0.03729,              0.0973,              0.0003,              0.0003
                   1,             0.11286,            0.017287,            0.041418,           0.0024331,             0.49369,            0.017731,           0.0033535,              0.1095,             0.01385,            0.036577,            0.093561,           0.0005614,           0.0005614
                   2,             0.10813,            0.020558,            0.039852,           0.0023404,              0.4792,            0.019387,           0.0028077,            0.097937,            0.015806,            0.035779,            0.089664,           0.0006644,           0.0006644
                   3,             0.10089,            0.023847,            0.038789,            0.002243,             0.46844,            0.015986,           0.0021131,            0.091242,            0.016836,            0.034881,            0.085609,            0.000609,            0.000609
                   4,            0.096501,            0.020957,            0.038221,            0.002194,             0.47218,            0.017135,           0.0023723,            0.088941,            0.017174,            0.034576,            0.081395,           0.0003952,           0.0003952
