               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11601,            0.024615,            0.040706,           0.0012593,             0.27436,          0.00094875,          0.00018276,             0.12041,             0.02439,            0.038625,              0.0982,              0.0002,              0.0002
                   1,             0.11459,            0.023354,            0.039052,           0.0013092,             0.28718,          0.00097865,           0.0001825,             0.11851,            0.024617,            0.037993,            0.095335,            0.000335,            0.000335
                   2,             0.11167,             0.02624,            0.039898,           0.0013212,             0.30769,           0.0010707,          0.00019998,              0.1163,            0.024951,            0.037476,            0.092272,            0.000272,            0.000272
