               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11601,            0.024615,            0.040706,           0.0012593,             0.27436,          0.00094875,          0.00018276,             0.12041,             0.02439,            0.038625,              0.0982,              0.0002,              0.0002
                   1,             0.11443,            0.023379,            0.039019,           0.0012068,             0.25385,          0.00088185,          0.00017109,              0.1179,            0.024759,            0.037824,            0.095483,           0.0004835,           0.0004835
                   2,             0.11014,             0.02672,            0.039572,           0.0014634,             0.33333,           0.0012147,          0.00023573,             0.11278,            0.025819,            0.036771,            0.092747,           0.0007472,           0.0007472
                   3,             0.10458,            0.030024,            0.037134,            0.001332,                 0.3,           0.0011316,          0.00026763,             0.10344,            0.027993,            0.035475,            0.089991,           0.0009911,           0.0009911
                   4,            0.099082,            0.033843,            0.037397,           0.0016939,             0.38462,           0.0017952,          0.00047746,            0.093394,            0.030386,             0.03407,            0.087215,           0.0012152,           0.0012152
                   5,            0.095318,            0.031131,            0.035292,            0.001602,             0.37179,           0.0019169,          0.00052317,            0.088685,            0.031195,            0.033028,             0.08442,           0.0014195,           0.0014195
                   6,            0.090845,            0.035131,            0.035002,           0.0024344,             0.57436,           0.0041166,          0.00087633,            0.083412,            0.032158,            0.031907,            0.081604,            0.001604,            0.001604
                   7,            0.087272,            0.033654,            0.034245,           0.0024988,             0.58718,           0.0053288,           0.0011367,            0.081512,            0.032318,            0.031311,            0.078769,           0.0017687,           0.0017687
                   8,            0.083015,            0.036484,            0.032517,             0.00287,                 0.7,            0.018536,           0.0036551,            0.077435,             0.03286,            0.030032,            0.075914,           0.0019136,           0.0019136
                   9,            0.081621,            0.038034,            0.032971,           0.0030563,             0.76667,            0.033357,           0.0073548,            0.076736,            0.032359,            0.029263,            0.073039,           0.0020387,           0.0020387
                  10,             0.08136,            0.032046,            0.031353,           0.0034959,                 0.9,            0.059089,            0.011786,            0.069905,            0.032684,            0.027812,            0.070144,            0.002144,            0.002144
                  11,            0.074829,            0.033648,            0.029239,            0.038226,             0.33333,             0.12173,            0.039293,            0.066299,            0.032829,            0.027081,            0.067229,           0.0022295,           0.0022295
                  12,            0.072305,            0.040155,            0.027764,             0.77111,             0.19231,             0.11302,            0.020063,            0.066673,            0.030838,            0.025985,            0.064295,           0.0022952,           0.0022952
                  13,            0.070969,            0.032073,            0.028806,             0.73351,             0.14103,            0.074305,            0.016118,            0.063606,            0.031176,            0.025669,            0.061341,           0.0023411,           0.0023411
                  14,            0.069733,             0.03712,            0.030645,             0.38521,             0.24231,            0.055232,            0.012513,            0.066877,            0.028477,            0.025121,            0.058367,           0.0023672,           0.0023672
                  15,            0.069337,            0.035025,             0.02789,              0.7579,             0.20513,             0.20069,            0.046736,            0.060146,            0.029201,            0.024827,            0.055374,           0.0023735,           0.0023735
                  16,            0.068182,            0.032722,            0.028226,             0.53403,             0.32629,             0.27954,            0.081558,            0.057479,            0.028673,            0.024431,             0.05236,             0.00236,             0.00236
                  17,            0.061989,            0.029275,            0.025876,             0.57232,             0.41874,             0.20442,            0.051474,            0.066308,            0.026569,            0.024324,            0.049327,           0.0023267,           0.0023267
                  18,            0.064386,            0.032636,            0.028924,             0.59229,             0.45385,             0.25631,            0.078216,            0.053317,            0.028749,            0.024093,            0.046274,           0.0022736,           0.0022736
                  19,            0.058448,             0.02951,            0.029438,            0.080359,             0.31026,             0.07939,            0.020625,             0.05966,            0.027336,            0.024004,            0.043201,           0.0022007,           0.0022007
                  20,            0.058613,            0.035674,            0.026074,             0.71717,             0.45472,             0.38255,             0.11102,            0.050176,            0.028409,            0.023719,            0.040108,            0.002108,            0.002108
                  21,            0.058337,            0.031485,            0.029014,             0.16088,             0.44113,             0.17762,            0.056904,            0.058847,            0.026236,            0.023513,            0.036996,           0.0019955,           0.0019955
                  22,            0.052817,            0.033792,            0.027508,              0.3743,                 0.5,              0.4773,             0.15419,            0.048199,            0.027623,            0.023242,            0.033863,           0.0018632,           0.0018632
                  23,            0.057892,            0.030086,            0.026601,             0.30197,                 0.5,             0.43479,             0.17211,            0.052328,            0.026302,             0.02294,            0.030711,           0.0017111,           0.0017111
                  24,            0.051328,            0.034074,            0.025655,             0.35315,                 0.6,             0.49265,             0.18569,            0.046444,            0.027065,            0.022673,            0.027539,           0.0015392,           0.0015392
                  25,            0.053302,            0.028222,            0.027934,             0.38231,             0.48414,             0.51149,              0.2715,            0.047654,            0.026246,            0.022424,            0.024347,           0.0013475,           0.0013475
                  26,            0.052887,            0.029835,             0.02619,             0.29725,             0.66667,              0.4693,              0.1285,            0.045835,            0.026492,            0.022208,            0.021136,            0.001136,            0.001136
                  27,            0.049112,            0.031619,            0.024038,             0.38319,             0.50138,              0.5123,             0.25515,            0.043556,            0.026368,            0.022023,            0.017905,           0.0009047,           0.0009047
                  28,            0.047299,            0.031572,             0.02696,             0.38319,             0.50138,              0.5123,             0.25515,            0.043556,            0.026368,            0.022023,            0.014654,           0.0006536,           0.0006536
                  29,            0.050891,            0.025676,            0.028562,             0.38975,                 0.5,             0.51343,             0.26167,            0.042716,            0.026371,            0.021906,            0.011383,           0.0003827,           0.0003827
